HTL_CD,STY_DT,CURR_CD,RM_NTS,RM_REV_AMT_LOC
EXIUS,2019-10-19T00:00:00Z,USD,58,7499.72999999999
EXIUS,2019-10-20T00:00:00Z,USD,57,7553.24999999999
EXIUS,2019-10-21T00:00:00Z,USD,68,8647.93689655199
EXIUS,2019-10-22T00:00:00Z,USD,68,8644.84999999999
EXIUS,2019-10-23T00:00:00Z,USD,69,8944.52999999999
EXIUS,2019-10-24T00:00:00Z,USD,69,8716.99999999999
EXIUS,2019-10-25T00:00:00Z,USD,69,9056.21379310299
EXIUS,2019-10-26T00:00:00Z,USD,65,8211.47999999999
EXIUS,2019-10-27T00:00:00Z,USD,49,6091.44999999999
EXIUS,2019-10-28T00:00:00Z,USD,69,8875.02999999999
EXIUS,2019-10-29T00:00:00Z,USD,65,8371.11999999999
EXIUS,2019-10-30T00:00:00Z,USD,60,7509.34999999999
EXIUS,2019-10-31T00:00:00Z,USD,49,6069.07999999999
EXIUS,2019-11-01T00:00:00Z,USD,45,5594.99999999999
EXIUS,2019-11-02T00:00:00Z,USD,50,5968.60999999999
EXIUS,2019-11-03T00:00:00Z,USD,40,5063.35999999999
EXIUS,2019-11-04T00:00:00Z,USD,60,7729.21999999999
EXIUS,2019-11-05T00:00:00Z,USD,69,8728.25999999999
EXIUS,2019-11-06T00:00:00Z,USD,68,8332.33999999999
EXIUS,2019-11-07T00:00:00Z,USD,56,7032.50999999999
EXIUS,2019-11-08T00:00:00Z,USD,47,6187.74999999999
EXIUS,2019-11-09T00:00:00Z,USD,46,6004.51999999999
EXIUS,2019-11-10T00:00:00Z,USD,52,7005.06999999999
EXIUS,2019-11-11T00:00:00Z,USD,68,8755.08999999999
EXIUS,2019-11-12T00:00:00Z,USD,65,8705.16999999999
EXIUS,2019-11-13T00:00:00Z,USD,70,8915.42999999999
EXIUS,2019-11-14T00:00:00Z,USD,69,8775.36999999999
EXIUS,2019-11-15T00:00:00Z,USD,45,6392.22999999999
EXIUS,2019-11-16T00:00:00Z,USD,47,6170.61999999999
EXIUS,2019-11-17T00:00:00Z,USD,34,4312.81999999999
EXIUS,2019-11-18T00:00:00Z,USD,66,8769.67999999999
EXIUS,2019-11-19T00:00:00Z,USD,65,9149.86999999999
EXIUS,2019-11-20T00:00:00Z,USD,70,9554.45999999999
EXIUS,2019-11-21T00:00:00Z,USD,60,8215.38999999999
EXIUS,2019-11-22T00:00:00Z,USD,48,6265.88999999999
EXIUS,2019-11-23T00:00:00Z,USD,42,5506.01999999999
EXIUS,2019-11-24T00:00:00Z,USD,32,4337.98999999999
EXIUS,2019-11-25T00:00:00Z,USD,46,6109.93999999999
EXIUS,2019-11-26T00:00:00Z,USD,40,5015.78999999999
EXIUS,2019-11-27T00:00:00Z,USD,36,4637.51999999999
EXIUS,2019-11-28T00:00:00Z,USD,33,3873.45999999999
EXIUS,2019-11-29T00:00:00Z,USD,22,2876.54999999999
EXIUS,2019-11-30T00:00:00Z,USD,20,2329.85999999999
EXIUS,2019-12-01T00:00:00Z,USD,14,1585.75
EXIUS,2019-12-02T00:00:00Z,USD,51,6737.93999999999
EXIUS,2019-12-03T00:00:00Z,USD,59,7866.23999999999
EXIUS,2019-12-04T00:00:00Z,USD,52,6586.58999999999
EXIUS,2019-12-05T00:00:00Z,USD,38,4650.31999999999
EXIUS,2019-12-06T00:00:00Z,USD,23,3019.31999999999
EXIUS,2019-12-07T00:00:00Z,USD,32,3999.61999999999
EXIUS,2019-12-08T00:00:00Z,USD,25,3286.37999999999
EXIUS,2019-12-09T00:00:00Z,USD,54,6965.40999999999
EXIUS,2019-12-10T00:00:00Z,USD,53,7147.50999999999
EXIUS,2019-12-11T00:00:00Z,USD,43,5737.77999999999
EXIUS,2019-12-12T00:00:00Z,USD,36,4745.12999999999
EXIUS,2019-12-13T00:00:00Z,USD,36,4867.79999999999
EXIUS,2019-12-14T00:00:00Z,USD,23,2836.63999999999
EXIUS,2019-12-15T00:00:00Z,USD,17,2332.79
EXIUS,2019-12-16T00:00:00Z,USD,37,4956.54999999999
EXIUS,2019-12-17T00:00:00Z,USD,33,4092.74999999999
EXIUS,2019-12-18T00:00:00Z,USD,34,4068.48999999999
EXIUS,2019-12-19T00:00:00Z,USD,31,3140.80999999999
EXIUS,2019-12-20T00:00:00Z,USD,16,1328.1
EXIUS,2019-12-21T00:00:00Z,USD,32,3154.21999999999
EXIUS,2019-12-22T00:00:00Z,USD,8,1135.82
EXIUS,2019-12-23T00:00:00Z,USD,6,802.36
EXIUS,2019-12-24T00:00:00Z,USD,10,1027.29
EXIUS,2019-12-25T00:00:00Z,USD,11,1164.35
EXIUS,2019-12-26T00:00:00Z,USD,31,3300.25
EXIUS,2019-12-27T00:00:00Z,USD,37,4213.53999999999
EXIUS,2019-12-28T00:00:00Z,USD,30,3305.99999999999
EXIUS,2019-12-29T00:00:00Z,USD,15,1670.58
EXIUS,2019-12-30T00:00:00Z,USD,18,2091.59
